,_Û,ÓÕFÓå,ÄÎÄVÄI¥»¥,1,2,3,4,5,6,7,8,9,10,11,12,23,24,25,16,17,18,26,27,28,22,,,,,,
Ò¥t,,,,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,2018/04/04,,,,,,
___ï,,,,08:35.8,09:15.8,09:47.3,09:58.3,10:53.3,11:06.7,11:17.4,11:50.3,12:01.2,12:11.5,13:05.1,13:16.4,32:16.4,32:31.5,32:48.1,14:07.7,15:03.2,15:13.3,33:05.1,34:00.7,34:12.3,30:42.9,,,,,,
Îoä§___ï,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÄÄâ,,,,color1,,,color2,,,colo3,,,color4,,,color5_again,,,color6,,,color7_again,,,white,,,,,,
ÎvÔ»_¥_,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,,
PC¥_,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,,
®Òx¥_,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,,
ÔSÎÔ©¥_,,,,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,,,,,
__ÎnÑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ô»Õ_p,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,
ì¥»___ï,,,,5175,130,60,10600,250,110,5315,110,50,10475,300,105,940,310,290,1935,60,50,8685,195,90,50,,,,,,
R,,,,2.36E-03,8.92E-02,1.76E-01,1.54E-03,5.91E-02,1.47E-01,1.99E-03,8.98E-02,1.80E-01,1.90E-03,7.00E-02,1.60E-01,5.03E-03,1.67E-01,2.34E-01,3.52E-03,1.32E-01,2.14E-01,2.36E-03,9.50E-02,1.88E-01,2.71E-01,,,,,,
L,,,,5.71E-01,2.60E+01,5.11E+01,4.52E-01,2.58E+01,5.34E+01,5.00E-01,2.73E+01,5.35E+01,5.39E-01,2.56E+01,5.28E+01,5.00E-01,2.88E+01,5.43E+01,5.18E-01,2.67E+01,5.26E+01,4.65E-01,2.34E+01,5.05E+01,7.86E+01,,,,,,
X,,,,5.53E-01,2.44E+01,4.82E+01,3.22E-01,1.61E+01,4.02E+01,4.08E-01,2.23E+01,4.72E+01,4.68E-01,2.13E+01,4.65E+01,9.30E-01,3.73E+01,5.84E+01,8.79E-01,3.62E+01,5.86E+01,7.28E-01,3.41E+01,6.00E+01,7.42E+01,,,,,,
Y,,,,5.71E-01,2.60E+01,5.11E+01,4.52E-01,2.58E+01,5.34E+01,5.00E-01,2.73E+01,5.35E+01,5.39E-01,2.56E+01,5.28E+01,5.00E-01,2.88E+01,5.43E+01,5.18E-01,2.67E+01,5.26E+01,4.65E-01,2.34E+01,5.05E+01,7.86E+01,,,,,,
Z,,,,8.61E-01,3.36E+01,6.68E+01,4.17E-01,1.11E+01,4.14E+01,8.35E-01,4.02E+01,7.46E+01,4.23E-01,1.20E+01,4.36E+01,4.22E+00,1.18E+02,1.28E+02,1.79E+00,6.57E+01,9.43E+01,3.92E-01,1.33E+01,4.78E+01,1.03E+02,,,,,,
x,,,,0.2788,0.2907,0.29,0.2705,0.3042,0.2975,0.2342,0.2484,0.269,0.3272,0.3621,0.3256,0.1646,0.2028,0.243,0.2758,0.2816,0.2852,0.4593,0.4815,0.3791,0.2896,,,,,,
y,,,,0.2875,0.3096,0.3077,0.3795,0.4868,0.3957,0.2867,0.3041,0.3054,0.3771,0.4346,0.3693,0.0884,0.1565,0.2261,0.1626,0.2074,0.256,0.2934,0.3313,0.3188,0.307,,,,,,
u',,,,0.1893,0.1896,0.1898,0.1543,0.1478,0.1664,0.1568,0.1615,0.1756,0.1905,0.1934,0.1921,0.1764,0.1814,0.1859,0.2507,0.2286,0.2073,0.328,0.3203,0.25,0.1897,,,,,,
v',,,,0.4391,0.4542,0.453,0.487,0.5321,0.4978,0.4321,0.4448,0.4486,0.4939,0.5221,0.4902,0.2133,0.3149,0.3893,0.3326,0.379,0.4188,0.4713,0.4959,0.4729,0.4526,,,,,,
FäáÒx,,,,10264,8228,8334,8027,6176,6723,18195,12764,10285,5698,4766,5764,,,,,,12174,1765,1843,3478,8385,,,,,,
¥ëá,,,,0.000681,0.005089,0.004514,0.046555,0.068778,0.040234,0.029098,0.02766,0.01579,0.019526,0.030548,0.016702,0,0,0,0,-0.05162,-0.021299,-0.046112,-0.029454,-0.029288,0.004409,,,,,,
_ÓgÕá,,,,479.7855,484.1958,483.6869,501.4608,543.8712,516.8354,485.431,487.1754,485.9538,547.0479,564.7168,542.3114,466.095,469.0017,473.1632,-566.1651,-568.0068,459.9039,-495.793,611.7723,-495.8038,483.5455,,,,,,
_hÎÄÄÒx,,,,0.226,0.1636,0.1678,0.1917,0.3857,0.1269,0.3719,0.3089,0.2392,0.1157,0.392,0.0884,0.8435,0.6317,0.4145,0.5662,0.4004,0.2544,0.3871,0.4384,0.1408,0.1698,,,,,,
380(nm),,,,1.39E-07,5.48E-06,1.09E-05,9.96E-08,4.72E-06,1.08E-05,1.29E-07,6.73E-06,1.30E-05,1.07E-07,4.23E-06,9.89E-06,3.00E-07,1.18E-05,1.64E-05,1.53E-07,6.19E-06,1.25E-05,7.23E-08,2.88E-06,8.43E-06,1.70E-05,,,,,,
381(nm),,,,1.36E-07,5.46E-06,9.82E-06,8.48E-08,4.12E-06,9.20E-06,1.25E-07,5.74E-06,1.12E-05,9.58E-08,3.75E-06,9.20E-06,2.96E-07,1.05E-05,1.18E-05,1.23E-07,6.41E-06,1.25E-05,6.00E-08,2.54E-06,7.51E-06,1.50E-05,,,,,,
382(nm),,,,1.07E-07,4.82E-06,9.55E-06,8.34E-08,3.48E-06,8.38E-06,1.05E-07,5.53E-06,1.02E-05,8.12E-08,3.40E-06,7.90E-06,2.99E-07,9.50E-06,1.31E-05,1.40E-07,5.90E-06,1.04E-05,6.00E-08,2.36E-06,6.80E-06,1.42E-05,,,,,,
383(nm),,,,9.98E-08,4.20E-06,8.36E-06,7.41E-08,3.19E-06,7.36E-06,1.05E-07,4.77E-06,9.13E-06,7.84E-08,3.04E-06,7.07E-06,2.62E-07,8.86E-06,1.17E-05,1.35E-07,5.74E-06,8.73E-06,5.22E-08,2.18E-06,6.54E-06,1.23E-05,,,,,,
384(nm),,,,9.42E-08,3.96E-06,7.39E-06,6.41E-08,2.92E-06,6.75E-06,9.14E-08,4.83E-06,8.05E-06,6.74E-08,2.80E-06,6.64E-06,2.33E-07,7.63E-06,1.16E-05,1.21E-07,4.93E-06,8.62E-06,4.14E-08,1.92E-06,5.86E-06,1.15E-05,,,,,,
385(nm),,,,8.86E-08,3.58E-06,6.50E-06,6.41E-08,2.50E-06,6.40E-06,8.61E-08,4.06E-06,7.91E-06,5.81E-08,2.48E-06,5.88E-06,2.38E-07,8.09E-06,9.82E-06,1.21E-07,4.87E-06,8.14E-06,3.44E-08,1.70E-06,5.28E-06,1.07E-05,,,,,,
386(nm),,,,8.54E-08,3.53E-06,6.40E-06,5.47E-08,2.41E-06,5.62E-06,7.64E-08,3.70E-06,7.25E-06,6.02E-08,2.31E-06,5.29E-06,2.34E-07,7.33E-06,8.89E-06,1.00E-07,4.40E-06,7.49E-06,3.77E-08,1.62E-06,4.86E-06,9.97E-06,,,,,,
387(nm),,,,7.82E-08,3.08E-06,6.06E-06,5.36E-08,2.25E-06,5.28E-06,7.33E-08,3.35E-06,6.57E-06,5.54E-08,2.15E-06,5.08E-06,2.04E-07,6.07E-06,8.98E-06,9.25E-08,4.21E-06,6.96E-06,3.75E-08,1.43E-06,4.58E-06,9.57E-06,,,,,,
388(nm),,,,6.88E-08,2.79E-06,5.48E-06,4.76E-08,2.10E-06,4.84E-06,6.52E-08,3.11E-06,6.22E-06,5.22E-08,1.92E-06,4.82E-06,1.76E-07,5.67E-06,8.62E-06,9.94E-08,3.86E-06,6.54E-06,3.56E-08,1.42E-06,4.19E-06,8.95E-06,,,,,,
389(nm),,,,6.71E-08,2.55E-06,5.02E-06,4.39E-08,1.88E-06,4.51E-06,6.44E-08,2.89E-06,5.77E-06,4.89E-08,1.81E-06,4.36E-06,2.06E-07,5.78E-06,7.21E-06,8.79E-08,3.94E-06,5.94E-06,3.08E-08,1.33E-06,3.86E-06,7.57E-06,,,,,,
390(nm),,,,6.29E-08,2.31E-06,4.99E-06,4.37E-08,1.91E-06,4.07E-06,6.15E-08,2.74E-06,5.83E-06,4.57E-08,1.74E-06,4.02E-06,1.85E-07,5.86E-06,7.09E-06,9.01E-08,3.26E-06,5.86E-06,3.24E-08,1.30E-06,3.77E-06,7.64E-06,,,,,,
391(nm),,,,6.11E-08,2.40E-06,4.62E-06,3.97E-08,1.70E-06,3.77E-06,5.59E-08,2.76E-06,5.20E-06,4.25E-08,1.58E-06,3.74E-06,1.72E-07,5.01E-06,6.85E-06,7.67E-08,3.13E-06,5.35E-06,3.10E-08,1.24E-06,3.57E-06,7.16E-06,,,,,,
392(nm),,,,5.63E-08,2.28E-06,4.31E-06,3.75E-08,1.57E-06,3.79E-06,4.86E-08,2.64E-06,4.93E-06,4.05E-08,1.50E-06,3.62E-06,1.47E-07,4.31E-06,6.66E-06,8.35E-08,3.20E-06,5.12E-06,2.98E-08,1.17E-06,3.34E-06,6.59E-06,,,,,,
393(nm),,,,5.16E-08,2.09E-06,3.95E-06,3.81E-08,1.40E-06,3.53E-06,4.99E-08,2.35E-06,5.23E-06,3.94E-08,1.36E-06,3.59E-06,1.76E-07,4.57E-06,6.04E-06,8.40E-08,2.59E-06,4.94E-06,2.87E-08,1.04E-06,3.43E-06,6.23E-06,,,,,,
394(nm),,,,5.32E-08,2.15E-06,3.88E-06,3.54E-08,1.34E-06,3.27E-06,5.07E-08,2.33E-06,4.42E-06,3.71E-08,1.31E-06,3.39E-06,1.63E-07,4.92E-06,5.66E-06,6.52E-08,2.80E-06,5.04E-06,2.79E-08,1.10E-06,3.06E-06,6.35E-06,,,,,,
395(nm),,,,4.96E-08,1.89E-06,3.84E-06,3.28E-08,1.29E-06,3.22E-06,4.91E-08,2.08E-06,4.33E-06,3.64E-08,1.23E-06,3.17E-06,1.53E-07,4.25E-06,5.50E-06,6.35E-08,2.83E-06,4.49E-06,2.51E-08,9.95E-07,3.00E-06,5.98E-06,,,,,,
396(nm),,,,4.86E-08,2.01E-06,3.83E-06,3.32E-08,1.24E-06,3.01E-06,4.71E-08,2.11E-06,4.01E-06,3.56E-08,1.15E-06,3.00E-06,1.49E-07,4.51E-06,5.53E-06,6.75E-08,2.93E-06,4.45E-06,2.76E-08,9.83E-07,2.80E-06,5.60E-06,,,,,,
397(nm),,,,4.51E-08,2.08E-06,3.80E-06,2.92E-08,1.25E-06,2.85E-06,4.46E-08,2.12E-06,3.90E-06,3.37E-08,1.18E-06,2.85E-06,1.46E-07,4.09E-06,5.23E-06,6.00E-08,2.87E-06,4.46E-06,2.56E-08,9.28E-07,2.64E-06,5.50E-06,,,,,,
398(nm),,,,4.62E-08,1.77E-06,3.73E-06,2.99E-08,1.15E-06,2.83E-06,4.50E-08,2.05E-06,4.08E-06,3.03E-08,1.08E-06,2.74E-06,1.50E-07,4.07E-06,5.48E-06,7.27E-08,2.66E-06,4.55E-06,2.30E-08,8.67E-07,2.80E-06,5.57E-06,,,,,,
399(nm),,,,4.72E-08,1.60E-06,3.41E-06,2.84E-08,1.05E-06,2.70E-06,4.08E-08,2.01E-06,4.02E-06,3.30E-08,1.08E-06,2.87E-06,1.43E-07,4.45E-06,5.03E-06,6.91E-08,2.65E-06,4.36E-06,2.47E-08,8.10E-07,2.65E-06,5.67E-06,,,,,,
400(nm),,,,4.18E-08,1.72E-06,3.50E-06,2.63E-08,1.03E-06,2.67E-06,4.36E-08,1.98E-06,3.60E-06,2.98E-08,1.01E-06,2.61E-06,1.42E-07,4.60E-06,5.33E-06,7.10E-08,2.93E-06,4.20E-06,2.31E-08,8.95E-07,2.63E-06,5.40E-06,,,,,,
401(nm),,,,4.78E-08,1.74E-06,3.31E-06,2.91E-08,1.04E-06,2.59E-06,4.31E-08,2.08E-06,3.57E-06,2.92E-08,1.00E-06,2.72E-06,1.47E-07,4.64E-06,5.07E-06,7.20E-08,2.87E-06,4.18E-06,2.62E-08,9.64E-07,2.62E-06,5.21E-06,,,,,,
402(nm),,,,4.49E-08,1.71E-06,3.51E-06,2.71E-08,9.95E-07,2.80E-06,4.45E-08,1.96E-06,3.82E-06,3.14E-08,9.80E-07,2.64E-06,1.45E-07,4.37E-06,5.78E-06,6.09E-08,2.79E-06,4.26E-06,2.30E-08,8.97E-07,2.63E-06,5.31E-06,,,,,,
403(nm),,,,4.79E-08,1.73E-06,3.48E-06,3.00E-08,9.87E-07,2.59E-06,4.45E-08,2.05E-06,3.76E-06,3.05E-08,9.94E-07,2.68E-06,1.54E-07,4.73E-06,4.97E-06,7.12E-08,2.87E-06,4.54E-06,2.75E-08,8.93E-07,2.64E-06,5.31E-06,,,,,,
404(nm),,,,5.07E-08,1.85E-06,3.79E-06,3.15E-08,9.95E-07,2.68E-06,4.65E-08,2.03E-06,3.96E-06,3.06E-08,1.03E-06,2.72E-06,1.67E-07,5.10E-06,5.77E-06,8.25E-08,3.03E-06,4.70E-06,2.85E-08,9.40E-07,2.71E-06,5.43E-06,,,,,,
405(nm),,,,5.33E-08,2.03E-06,3.85E-06,3.33E-08,1.02E-06,2.78E-06,5.12E-08,2.10E-06,4.33E-06,3.48E-08,1.03E-06,2.84E-06,1.82E-07,5.48E-06,6.15E-06,9.08E-08,3.34E-06,4.95E-06,2.97E-08,1.00E-06,3.05E-06,5.72E-06,,,,,,
406(nm),,,,5.99E-08,2.00E-06,4.06E-06,3.36E-08,9.62E-07,2.89E-06,5.09E-08,2.45E-06,4.66E-06,3.71E-08,1.07E-06,2.98E-06,2.13E-07,5.61E-06,6.79E-06,1.05E-07,3.63E-06,5.48E-06,3.59E-08,1.11E-06,3.19E-06,6.59E-06,,,,,,
407(nm),,,,6.48E-08,2.23E-06,4.47E-06,3.66E-08,1.05E-06,3.25E-06,6.35E-08,2.56E-06,4.72E-06,4.04E-08,1.12E-06,3.20E-06,2.20E-07,6.77E-06,7.28E-06,1.16E-07,3.76E-06,6.07E-06,3.92E-08,1.23E-06,3.63E-06,7.03E-06,,,,,,
408(nm),,,,7.43E-08,2.38E-06,4.99E-06,4.44E-08,1.10E-06,3.46E-06,7.14E-08,2.84E-06,5.38E-06,4.65E-08,1.19E-06,3.67E-06,2.53E-07,7.89E-06,8.91E-06,1.35E-07,4.44E-06,6.80E-06,4.44E-08,1.28E-06,4.02E-06,7.80E-06,,,,,,
409(nm),,,,8.26E-08,2.75E-06,5.76E-06,4.80E-08,1.16E-06,3.72E-06,7.66E-08,3.23E-06,6.12E-06,5.02E-08,1.30E-06,4.03E-06,3.20E-07,8.90E-06,1.00E-05,1.52E-07,5.17E-06,7.66E-06,5.15E-08,1.52E-06,4.44E-06,8.58E-06,,,,,,
410(nm),,,,9.66E-08,3.33E-06,6.44E-06,5.39E-08,1.27E-06,4.24E-06,8.92E-08,3.80E-06,6.85E-06,5.68E-08,1.41E-06,4.45E-06,3.77E-07,1.02E-05,1.15E-05,1.79E-07,6.29E-06,8.85E-06,6.03E-08,1.80E-06,5.05E-06,1.01E-05,,,,,,
411(nm),,,,1.19E-07,3.66E-06,7.46E-06,6.51E-08,1.39E-06,4.82E-06,1.07E-07,4.29E-06,8.10E-06,6.64E-08,1.58E-06,5.12E-06,4.39E-07,1.23E-05,1.33E-05,2.09E-07,7.08E-06,1.04E-05,7.22E-08,2.02E-06,5.86E-06,1.15E-05,,,,,,
412(nm),,,,1.32E-07,4.43E-06,8.85E-06,7.41E-08,1.56E-06,5.59E-06,1.25E-07,5.26E-06,9.80E-06,7.87E-08,1.80E-06,5.98E-06,5.38E-07,1.45E-05,1.57E-05,2.47E-07,8.55E-06,1.24E-05,8.69E-08,2.32E-06,7.03E-06,1.37E-05,,,,,,
413(nm),,,,1.55E-07,5.20E-06,1.06E-05,8.70E-08,1.76E-06,6.52E-06,1.50E-07,6.14E-06,1.14E-05,9.55E-08,2.05E-06,7.03E-06,6.38E-07,1.74E-05,1.88E-05,3.04E-07,1.06E-05,1.47E-05,9.92E-08,2.77E-06,8.39E-06,1.61E-05,,,,,,
414(nm),,,,1.90E-07,6.18E-06,1.24E-05,1.04E-07,1.98E-06,7.50E-06,1.73E-07,7.13E-06,1.35E-05,1.12E-07,2.41E-06,8.33E-06,7.85E-07,2.10E-05,2.25E-05,3.63E-07,1.24E-05,1.73E-05,1.20E-07,3.26E-06,9.78E-06,1.91E-05,,,,,,
415(nm),,,,2.21E-07,7.44E-06,1.48E-05,1.24E-07,2.32E-06,8.91E-06,2.12E-07,8.61E-06,1.61E-05,1.28E-07,2.75E-06,9.76E-06,9.40E-07,2.45E-05,2.70E-05,4.45E-07,1.44E-05,2.11E-05,1.38E-07,3.89E-06,1.14E-05,2.26E-05,,,,,,
416(nm),,,,2.68E-07,8.76E-06,1.74E-05,1.46E-07,2.67E-06,1.05E-05,2.51E-07,1.03E-05,1.93E-05,1.54E-07,3.28E-06,1.15E-05,1.12E-06,3.00E-05,3.28E-05,5.28E-07,1.76E-05,2.50E-05,1.70E-07,4.54E-06,1.36E-05,2.66E-05,,,,,,
417(nm),,,,3.21E-07,1.06E-05,2.08E-05,1.75E-07,3.13E-06,1.27E-05,3.04E-07,1.23E-05,2.32E-05,1.80E-07,3.83E-06,1.38E-05,1.37E-06,3.68E-05,4.01E-05,6.26E-07,2.10E-05,3.04E-05,1.99E-07,5.35E-06,1.64E-05,3.26E-05,,,,,,
418(nm),,,,3.85E-07,1.26E-05,2.54E-05,2.07E-07,3.64E-06,1.50E-05,3.60E-07,1.48E-05,2.78E-05,2.18E-07,4.53E-06,1.65E-05,1.65E-06,4.49E-05,4.80E-05,7.56E-07,2.59E-05,3.64E-05,2.36E-07,6.38E-06,1.94E-05,3.94E-05,,,,,,
419(nm),,,,4.54E-07,1.53E-05,3.02E-05,2.49E-07,4.33E-06,1.78E-05,4.29E-07,1.78E-05,3.35E-05,2.55E-07,5.31E-06,1.97E-05,1.99E-06,5.30E-05,5.85E-05,8.98E-07,3.09E-05,4.37E-05,2.81E-07,7.52E-06,2.34E-05,4.72E-05,,,,,,
420(nm),,,,5.55E-07,1.85E-05,3.64E-05,2.98E-07,5.11E-06,2.15E-05,5.22E-07,2.17E-05,4.11E-05,3.07E-07,6.30E-06,2.36E-05,2.43E-06,6.57E-05,6.96E-05,1.08E-06,3.70E-05,5.29E-05,3.31E-07,9.10E-06,2.82E-05,5.67E-05,,,,,,
421(nm),,,,6.63E-07,2.23E-05,4.44E-05,3.53E-07,6.18E-06,2.61E-05,6.32E-07,2.63E-05,4.94E-05,3.65E-07,7.56E-06,2.85E-05,2.94E-06,7.92E-05,8.49E-05,1.33E-06,4.54E-05,6.37E-05,3.93E-07,1.07E-05,3.38E-05,6.84E-05,,,,,,
422(nm),,,,7.93E-07,2.70E-05,5.36E-05,4.18E-07,7.43E-06,3.14E-05,7.59E-07,3.18E-05,5.93E-05,4.36E-07,9.07E-06,3.41E-05,3.55E-06,9.56E-05,1.03E-04,1.61E-06,5.51E-05,7.65E-05,4.69E-07,1.27E-05,4.05E-05,8.22E-05,,,,,,
423(nm),,,,9.39E-07,3.23E-05,6.39E-05,4.95E-07,8.73E-06,3.71E-05,9.08E-07,3.79E-05,7.07E-05,5.13E-07,1.07E-05,4.08E-05,4.29E-06,1.15E-04,1.24E-04,1.92E-06,6.58E-05,9.16E-05,5.50E-07,1.49E-05,4.81E-05,9.88E-05,,,,,,
424(nm),,,,1.13E-06,3.84E-05,7.65E-05,5.84E-07,1.04E-05,4.47E-05,1.08E-06,4.55E-05,8.49E-05,6.04E-07,1.27E-05,4.87E-05,5.13E-06,1.38E-04,1.48E-04,2.29E-06,7.90E-05,1.10E-04,6.48E-07,1.75E-05,5.69E-05,1.18E-04,,,,,,
425(nm),,,,1.33E-06,4.58E-05,9.09E-05,6.90E-07,1.23E-05,5.27E-05,1.28E-06,5.41E-05,1.01E-04,7.12E-07,1.50E-05,5.78E-05,6.10E-06,1.65E-04,1.75E-04,2.72E-06,9.33E-05,1.32E-04,7.58E-07,2.08E-05,6.78E-05,1.41E-04,,,,,,
426(nm),,,,1.57E-06,5.43E-05,1.07E-04,8.06E-07,1.45E-05,6.25E-05,1.50E-06,6.38E-05,1.20E-04,8.28E-07,1.76E-05,6.79E-05,7.25E-06,1.96E-04,2.09E-04,3.22E-06,1.11E-04,1.56E-04,8.85E-07,2.44E-05,8.01E-05,1.66E-04,,,,,,
427(nm),,,,1.85E-06,6.39E-05,1.27E-04,9.33E-07,1.71E-05,7.36E-05,1.77E-06,7.51E-05,1.41E-04,9.65E-07,2.06E-05,7.99E-05,8.57E-06,2.31E-04,2.46E-04,3.78E-06,1.30E-04,1.83E-04,1.02E-06,2.84E-05,9.36E-05,1.96E-04,,,,,,
428(nm),,,,2.15E-06,7.52E-05,1.49E-04,1.10E-06,1.98E-05,8.65E-05,2.07E-06,8.94E-05,1.66E-04,1.13E-06,2.42E-05,9.45E-05,1.01E-05,2.73E-04,2.92E-04,4.44E-06,1.55E-04,2.15E-04,1.19E-06,3.30E-05,1.10E-04,2.30E-04,,,,,,
429(nm),,,,2.52E-06,8.82E-05,1.76E-04,1.28E-06,2.36E-05,1.02E-04,2.43E-06,1.05E-04,1.96E-04,1.31E-06,2.83E-05,1.11E-04,1.19E-05,3.21E-04,3.43E-04,5.22E-06,1.81E-04,2.54E-04,1.38E-06,3.84E-05,1.29E-04,2.71E-04,,,,,,
430(nm),,,,2.95E-06,1.04E-04,2.07E-04,1.48E-06,2.76E-05,1.20E-04,2.83E-06,1.24E-04,2.30E-04,1.52E-06,3.31E-05,1.30E-04,1.39E-05,3.79E-04,4.03E-04,6.13E-06,2.13E-04,2.99E-04,1.59E-06,4.49E-05,1.51E-04,3.19E-04,,,,,,
431(nm),,,,3.44E-06,1.21E-04,2.42E-04,1.72E-06,3.23E-05,1.40E-04,3.30E-06,1.45E-04,2.70E-04,1.75E-06,3.87E-05,1.52E-04,1.64E-05,4.43E-04,4.72E-04,7.12E-06,2.50E-04,3.50E-04,1.84E-06,5.21E-05,1.78E-04,3.74E-04,,,,,,
